iter	Passed	Remaining
0	6	617
1	10	516
2	15	487
3	19	457
4	23	448
5	27	423
6	30	400
7	33	381
8	35	358
9	37	338
10	40	323
11	41	306
12	43	290
13	45	276
14	46	264
15	47	251
16	49	240
17	50	231
18	52	222
19	53	214
20	54	206
21	56	198
22	57	191
23	58	185
24	59	178
25	60	172
26	61	167
27	62	161
28	63	156
29	65	151
30	66	147
31	67	142
32	68	138
33	69	134
34	70	130
35	71	127
36	72	123
37	73	120
38	74	117
39	75	113
40	76	110
41	77	106
42	78	103
43	79	101
44	80	98
45	81	95
46	82	93
47	83	90
48	84	88
49	85	85
50	86	83
51	88	81
52	89	79
53	90	76
54	90	74
55	91	72
56	92	70
57	94	68
58	95	66
59	96	64
60	97	62
61	98	60
62	99	58
63	100	56
64	101	54
65	102	52
66	103	51
67	104	49
68	105	47
69	106	45
70	107	44
71	108	42
72	109	40
73	111	39
74	112	37
75	113	35
76	114	34
77	115	32
78	116	30
79	117	29
80	118	27
81	119	26
82	120	24
83	121	23
84	122	21
85	123	20
86	124	18
87	125	17
88	126	15
89	127	14
90	128	12
91	129	11
92	130	9
93	131	8
94	132	6
95	133	5
96	134	4
97	135	2
98	136	1
99	137	0
